Product ID,Product Name,FMCG_Category
FUR-BO-10001798,Bush Somerset Collection Bookcase,Liquid Milk
FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Liquid Milk
OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,Yogurt & Desserts
FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,Liquid Milk
OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Yogurt & Desserts
FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Liquid Milk
OFF-AR-10002833,Newell 322,Yogurt & Desserts
TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,Powdered & Nutrition
OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,Yogurt & Desserts
OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,Yogurt & Desserts
FUR-TA-10001539,Chromcraft Rectangular Conference Tables,Liquid Milk
TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,Powdered & Nutrition
OFF-PA-10002365,Xerox 1967,Yogurt & Desserts
OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,Yogurt & Desserts
OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Yogurt & Desserts
OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Yogurt & Desserts
OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Yogurt & Desserts
OFF-ST-10000107,Fellowes Super Stor/Drawer,Yogurt & Desserts
OFF-AR-10003056,Newell 341,Yogurt & Desserts
TEC-PH-10001949,Cisco SPA 501G IP Phone,Powdered & Nutrition
OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",Yogurt & Desserts
OFF-AR-10000246,Newell 318,Yogurt & Desserts
OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Yogurt & Desserts
FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",Liquid Milk
OFF-BI-10001634,Wilson Jones Active Use Binders,Yogurt & Desserts
TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Powdered & Nutrition
FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Liquid Milk
OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,Yogurt & Desserts
FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Liquid Milk
OFF-EN-10001509,Poly String Tie Envelopes,Yogurt & Desserts
OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Yogurt & Desserts
OFF-BI-10001525,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Yogurt & Desserts
OFF-AR-10001683,Lumber Crayons,Yogurt & Desserts
OFF-PA-10000249,Easy-staple paper,Yogurt & Desserts
TEC-PH-10004977,GE 30524EE4,Powdered & Nutrition
FUR-FU-10003664,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Liquid Milk
OFF-EN-10002986,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Yogurt & Desserts
FUR-BO-10002545,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Liquid Milk
FUR-CH-10004218,"Global Fabric Manager's Chair, Dark Gray",Liquid Milk
TEC-PH-10000486,Plantronics HL10 Handset Lifter,Powdered & Nutrition
TEC-PH-10004093,Panasonic Kx-TS550,Powdered & Nutrition
OFF-ST-10003479,"Eldon Base for stackable storage shelf, platinum",Yogurt & Desserts
OFF-ST-10003282,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Yogurt & Desserts
TEC-AC-10000171,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Powdered & Nutrition
OFF-BI-10003291,Wilson Jones Leather-Like Binders with DublLock Round Rings,Yogurt & Desserts
OFF-ST-10001713,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Yogurt & Desserts
TEC-AC-10002167,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Powdered & Nutrition
TEC-PH-10003988,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Powdered & Nutrition
